level_0,Symbols,Close,High,Low,Open,Volume
2021-11-18,FB,338.69,342.46,335.3,339.72,17487235.0
2021-11-18,PFE,51.41,51.71,50.61,51.1,32872570.0
2021-11-18,BNTX,274.06,281.05,265.56,277.2757,2637416.0
2021-11-19,AMZN,3676.57,3762.145,3675.72,3712.69,4946203.0
2021-11-19,GOOGL,2978.53,3019.33,2977.98,2999.5088,1684969.0
2021-11-19,FB,345.3,352.1,339.9,342.2,26488541.0
2021-11-19,PFE,50.8,52.835,50.68,51.96,47966183.0
2021-11-19,BNTX,289.75,290.01,275.181,277.68,4142918.0
2021-11-22,AMZN,3572.57,3713.455,3567.5,3676.3768,4847850.0
2021-11-22,GOOGL,2926.04,2996.59,2922.95,2986.65,1531460.0
2021-11-22,FB,341.01,353.83,340.51,349.05,27116811.0
2021-11-22,PFE,51.2,51.47,50.38,50.95,27287943.0
2021-11-22,BNTX,321.71,322.2,292.45,298.0,5625454.0
2021-11-23,AMZN,3580.04,3621.05,3527.71,3585.04,3692246.0
2021-11-23,GOOGL,2915.64,2933.2,2882.3,2923.06,1361558.0
2021-11-23,FB,337.25,341.3999,333.5,338.93,17224986.0
2021-11-23,PFE,51.08,51.45,50.3,50.58,24952593.0
2021-11-23,BNTX,308.84,311.61,291.59,308.2,4346111.0
2021-11-24,AMZN,3580.41,3613.64,3536.85,3562.67,2328018.0
2021-11-24,GOOGL,2922.4,2924.985,2887.46,2909.47,902007.0
2021-11-24,FB,341.06,341.78,332.81,336.0,13566181.0
2021-11-24,PFE,50.89,51.33,50.705,51.18,18556753.0
2021-11-24,BNTX,304.76,306.82,291.85,295.0,2393491.0
2021-11-26,AMZN,3504.56,3633.5,3504.15,3602.095,2991297.0
2021-11-26,GOOGL,2843.66,2891.15,2836.85,2886.97,1523462.0
2021-11-26,FB,333.12,337.75,331.902,335.795,14750737.0
2021-11-26,PFE,54.0,54.94,53.25,54.035,66561304.0
2021-11-26,BNTX,348.0,372.49,335.0353,337.43,11028954.0
2021-11-29,AMZN,3561.57,3596.0,3531.5001,3547.6443,3265557.0
2021-11-29,GOOGL,2910.61,2925.95,2877.87,2880.0,1629752.0
2021-11-29,FB,338.03,340.67,335.305,336.89,16650949.0
2021-11-29,PFE,52.4,55.7,52.11,55.15,72660758.0
2021-11-29,BNTX,362.52,374.58,346.91,369.5,6067560.0
2021-11-30,AMZN,3507.07,3585.77,3492.01,3563.5,4001107.0
2021-11-30,GOOGL,2837.95,2920.0,2832.03,2900.17,2103361.0
2021-11-30,FB,324.46,335.81,323.43,335.0,25390008.0
2021-11-30,PFE,53.73,54.46,51.91,52.31,64598388.0
2021-11-30,BNTX,351.74,359.27,327.13,335.5967,4732549.0
2021-12-01,AMZN,3443.72,3559.88,3441.6,3545.0,3756995.0
2021-12-01,GOOGL,2821.03,2919.005,2818.24,2880.0,1702762.0
2021-12-01,FB,310.6,330.5,310.29,330.29,30384083.0
2021-12-01,PFE,54.68,55.17,51.86,52.47,59849358.0
2021-12-01,BNTX,334.48,346.8,330.66,335.65,3712393.0
2021-12-02,AMZN,3437.36,3492.7,3423.75,3460.0,3236288.0
2021-12-02,GOOGL,2859.32,2877.29,2804.29,2825.0,1459742.0
2021-12-02,FB,310.39,314.6,307.2,311.4,24396169.0
2021-12-02,PFE,53.04,55.08,52.77,53.82,46361744.0
2021-12-02,BNTX,333.49,335.0,307.06,311.0,4120080.0
2021-12-03,AMZN,3389.79,3469.865,3338.6,3455.0,4035550.0
2021-12-03,GOOGL,2840.03,2888.0,2806.02,2873.62,2061508.0
2021-12-03,FB,306.84,313.75,299.5,313.73,27471010.0
2021-12-03,PFE,54.27,54.41,53.102,53.71,37574769.0
2021-12-03,BNTX,344.06,346.19,328.02,338.0,3325589.0
